anchor_idx,query_image,num_matches,num_inliers
37300,1060345244496307,314,246
37350,1060345244496307,353,292
37400,1060345244496307,370,278
37450,1060345244496307,373,317
37500,1060345244496307,411,292
37550,1060345244496307,417,332
37600,1060345244496307,408,332
37650,1060345244496307,451,334
37700,1060345244496307,440,332
37750,1060345244496307,491,370
37800,1060345244496307,475,403
37850,1060345244496307,474,394
37900,1060345244496307,558,476
37950,1060345244496307,578,515
38000,1060345244496307,632,496
38050,1060345244496307,611,457
38100,1060345244496307,703,650
38150,1060345244496307,717,585
38200,1060345244496307,739,692
38250,1060345244496307,840,695
38300,1060345244496307,870,716
38350,1060345244496307,899,767
38400,1060345244496307,911,756
38450,1060345244496307,1077,892
38500,1060345244496307,1364,1209
38550,1060345244496307,1381,1170
38600,1060345244496307,1514,1210
38650,1060345244496307,1207,1016
38700,1060345244496307,914,784
38750,1060345244496307,839,681
38800,1060345244496307,676,530
38850,1060345244496307,619,507
38900,1060345244496307,543,444
38950,1060345244496307,513,449
39000,1060345244496307,550,457
39050,1060345244496307,523,437
39100,1060345244496307,454,397
39150,1060345244496307,516,416
39200,1060345244496307,542,432
39250,1060345244496307,479,412
39300,1060345244496307,492,406
39350,1060345244496307,384,318
39400,1060345244496307,355,294
39450,1060345244496307,368,326
39500,1060345244496307,295,256
39550,1060345244496307,336,283
39600,1060345244496307,343,300
39650,1060345244496307,243,187
39700,1060345244496307,250,218
39750,1060345244496307,255,210
39800,1060345244496307,258,216
39850,1060345244496307,273,214
39900,1060345244496307,228,181
39950,1060345244496307,220,186
40000,1060345244496307,186,148
40050,1060345244496307,203,167
40100,1060345244496307,173,129
40150,1060345244496307,216,185
40200,1060345244496307,211,173
40250,1060345244496307,187,155
40300,1060345244496307,258,194
40350,1060345244496307,211,157
40400,1060345244496307,222,156
40450,1060345244496307,210,144
40500,1060345244496307,182,129
40550,1060345244496307,179,133
40600,1060345244496307,164,104
40650,1060345244496307,194,88
40700,1060345244496307,222,71
40750,1060345244496307,259,63
40800,1060345244496307,182,93
40850,1060345244496307,204,79
40900,1060345244496307,139,41
40950,1060345244496307,30,13
41000,1060345244496307,75,21
41050,1060345244496307,30,14
41100,1060345244496307,51,17
41150,1060345244496307,22,11
41200,1060345244496307,23,12
41250,1060345244496307,36,13
41300,1060345244496307,0,0
41350,1060345244496307,16,10
41400,1060345244496307,66,21
41450,1060345244496307,45,16
37300,106292454876896,304,217
37350,106292454876896,253,202
37400,106292454876896,282,221
37450,106292454876896,299,255
37500,106292454876896,331,257
37550,106292454876896,356,261
37600,106292454876896,375,298
37650,106292454876896,347,274
37700,106292454876896,407,329
37750,106292454876896,369,304
37800,106292454876896,442,314
37850,106292454876896,476,329
37900,106292454876896,382,293
37950,106292454876896,493,374
38000,106292454876896,470,334
38050,106292454876896,565,425
38100,106292454876896,542,478
38150,106292454876896,556,412
38200,106292454876896,599,525
38250,106292454876896,665,569
38300,106292454876896,694,561
38350,106292454876896,712,593
38400,106292454876896,668,625
38450,106292454876896,731,627
38500,106292454876896,819,755
38550,106292454876896,761,678
38600,106292454876896,808,658
38650,106292454876896,792,696
38700,106292454876896,859,704
38750,106292454876896,974,766
38800,106292454876896,888,787
38850,106292454876896,1126,886
38900,106292454876896,1326,1039
38950,106292454876896,1612,1526
39000,106292454876896,1480,1238
39050,106292454876896,1136,1032
39100,106292454876896,935,782
39150,106292454876896,846,687
39200,106292454876896,804,688
39250,106292454876896,735,603
39300,106292454876896,668,535
39350,106292454876896,544,474
39400,106292454876896,478,415
39450,106292454876896,483,381
39500,106292454876896,424,364
39550,106292454876896,446,402
39600,106292454876896,422,372
39650,106292454876896,325,277
39700,106292454876896,365,286
39750,106292454876896,377,309
39800,106292454876896,415,312
39850,106292454876896,379,314
39900,106292454876896,336,290
39950,106292454876896,332,283
40000,106292454876896,290,249
40050,106292454876896,290,233
40100,106292454876896,266,226
40150,106292454876896,292,229
40200,106292454876896,271,216
40250,106292454876896,261,216
40300,106292454876896,251,201
40350,106292454876896,236,184
40400,106292454876896,234,188
40450,106292454876896,265,214
40500,106292454876896,233,165
40550,106292454876896,226,163
40600,106292454876896,182,140
40650,106292454876896,173,113
40700,106292454876896,195,49
40750,106292454876896,163,78
40800,106292454876896,215,141
40850,106292454876896,215,140
40900,106292454876896,184,117
40950,106292454876896,171,121
41000,106292454876896,68,24
41050,106292454876896,18,10
41100,106292454876896,25,13
41150,106292454876896,21,10
41200,106292454876896,67,22
41250,106292454876896,52,16
41300,106292454876896,59,19
41350,106292454876896,15,10
41400,106292454876896,29,11
41450,106292454876896,103,30
37300,108462314638861,312,235
37350,108462314638861,327,237
37400,108462314638861,332,233
37450,108462314638861,374,299
37500,108462314638861,358,234
37550,108462314638861,354,219
37600,108462314638861,380,269
37650,108462314638861,382,256
37700,108462314638861,408,269
37750,108462314638861,434,275
37800,108462314638861,413,274
37850,108462314638861,421,276
37900,108462314638861,462,269
37950,108462314638861,449,277
38000,108462314638861,459,231
38050,108462314638861,495,240
38100,108462314638861,381,285
38150,108462314638861,474,267
38200,108462314638861,405,279
38250,108462314638861,390,300
38300,108462314638861,402,298
38350,108462314638861,380,260
38400,108462314638861,323,216
38450,108462314638861,359,277
38500,108462314638861,381,264
38550,108462314638861,339,209
38600,108462314638861,352,226
38650,108462314638861,385,243
38700,108462314638861,364,228
38750,108462314638861,422,257
